,season,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,day,daylight_hours
12801,3,14,0,5,1,1,0.88,0.39,0.2239,65,198,263,22,14.886388888888888
12814,3,3,0,6,0,2,0.64,0.83,0.0896,10,32,42,23,14.884722222222223
12815,3,4,0,6,0,2,0.64,0.83,0.1642,6,13,19,23,14.884722222222223
12840,3,5,0,0,0,1,0.62,0.69,0.1343,1,7,8,24,14.881944444444445
12926,3,19,0,3,1,1,0.78,0.29,0.3284,101,542,643,27,14.868611111111111
12942,3,11,0,4,1,1,0.8,0.31,0.194,41,170,211,28,14.862222222222222
12953,3,22,0,4,1,1,0.76,0.52,0.1642,50,224,274,28,14.862222222222222
12970,3,15,0,5,1,1,0.96,0.36,0.0,47,183,230,29,14.854722222222222
12976,3,21,0,5,1,2,0.86,0.53,0.194,41,195,236,29,14.854722222222222
12982,3,3,0,6,0,2,0.64,0.89,0.0,3,20,23,30,14.846666666666666
12984,3,5,0,6,0,1,0.64,0.89,0.1642,3,7,10,30,14.846666666666666
12996,3,17,0,6,0,1,0.88,0.32,0.1343,131,231,362,30,14.846666666666666
13030,3,3,0,1,1,2,0.72,0.54,0.4179,0,5,5,2,14.827222222222222
13032,3,5,0,1,1,2,0.72,0.51,0.0,3,37,40,2,14.827222222222222
13058,3,7,0,2,1,1,0.74,0.58,0.0,21,462,483,3,14.81638888888889
13064,3,13,0,2,1,1,0.9,0.25,0.1343,80,203,283,3,14.81638888888889
13085,3,10,1,3,0,1,0.8,0.46,0.0,143,304,447,4,14.804444444444444
13165,3,18,0,6,0,1,0.94,0.29,0.0896,83,194,277,7,14.76361111111111
13236,3,17,0,2,1,1,0.78,0.49,0.194,103,769,872,10,14.715277777777779
13264,3,21,0,3,1,1,0.72,0.58,0.2239,69,322,391,11,14.6975
13285,3,18,0,4,1,1,0.76,0.45,0.1343,86,739,825,12,14.678888888888888
13298,3,7,0,5,1,2,0.7,0.54,0.0,27,353,380,13,14.659722222222221
13316,3,1,0,6,0,2,0.7,0.51,0.1045,13,105,118,14,14.639444444444445
13326,3,11,0,6,0,2,0.72,0.7,0.1045,143,296,439,14,14.639444444444445
13328,3,13,0,6,0,2,0.76,0.62,0.0896,219,372,591,14,14.639444444444445
13333,3,18,0,6,0,1,0.72,0.79,0.1343,108,243,351,14,14.639444444444445
13362,3,23,0,0,0,1,0.72,0.79,0.1343,25,66,91,15,14.618611111111111
13364,3,1,0,1,1,2,0.7,0.74,0.194,1,10,11,16,14.596944444444444
13376,3,13,0,1,1,1,0.84,0.49,0.2836,63,176,239,16,14.596944444444444
13393,3,6,0,2,1,1,0.72,0.66,0.1045,16,197,213,17,14.574722222222222
13411,3,0,0,3,1,1,0.76,0.66,0.1642,8,45,53,18,14.551666666666666
13421,3,10,0,3,1,1,0.9,0.42,0.194,39,99,138,18,14.551666666666666
13453,3,18,0,4,1,1,0.86,0.41,0.194,93,684,777,19,14.527777777777779
13506,3,23,0,6,0,2,0.6,0.88,0.0,32,117,149,21,14.478333333333333
13527,3,20,0,0,0,1,0.7,0.74,0.1642,124,254,378,22,14.452777777777778
13599,3,20,0,3,1,1,0.74,0.4,0.1642,106,461,567,25,14.371944444444445
13609,3,6,0,4,1,1,0.66,0.78,0.2537,16,165,181,26,14.34361111111111
13610,3,7,0,4,1,1,0.7,0.74,0.2537,17,478,495,26,14.34361111111111
13634,3,7,0,5,1,1,0.72,0.7,0.194,13,397,410,27,14.315
13650,3,23,0,5,1,1,0.76,0.66,0.0,34,155,189,27,14.315
13659,3,8,0,6,0,1,0.74,0.66,0.1642,36,127,163,28,14.285833333333333
13683,3,8,0,0,0,1,0.7,0.65,0.2239,37,90,127,29,14.25611111111111
13694,3,19,0,0,0,1,0.76,0.55,0.1642,143,300,443,29,14.25611111111111
13704,3,5,0,1,1,1,0.66,0.83,0.1045,4,43,47,30,14.225555555555555
13726,3,3,0,2,1,1,0.66,0.83,0.0896,1,5,6,31,14.195
13738,3,15,0,2,1,1,0.76,0.62,0.1343,29,115,144,31,14.195
13790,3,19,0,4,1,1,0.8,0.63,0.1642,98,509,607,2,14.131944444444445
13809,3,14,0,5,1,2,0.86,0.44,0.2537,102,229,331,3,14.099444444444444
13820,3,1,0,6,0,1,0.72,0.84,0.194,23,99,122,4,14.066944444444445
13821,3,2,0,6,0,1,0.72,0.84,0.1343,20,64,84,4,14.066944444444445
13834,3,15,0,6,0,1,0.88,0.42,0.4179,205,284,489,4,14.066944444444445
13838,3,19,0,6,0,1,0.82,0.52,0.3582,133,264,397,4,14.066944444444445
13841,3,22,0,6,0,1,0.76,0.66,0.2836,104,165,269,4,14.066944444444445
13887,3,20,0,1,1,1,0.76,0.66,0.1642,89,368,457,6,14.000277777777777
13893,3,2,0,2,1,1,0.7,0.84,0.1343,6,7,13,7,13.966388888888888
13909,3,18,0,2,1,2,0.76,0.62,0.1642,103,711,814,7,13.966388888888888
13923,3,8,0,3,1,2,0.74,0.72,0.0896,48,689,737,8,13.931944444444444
13926,3,11,0,3,1,2,0.8,0.52,0.0,80,159,239,8,13.931944444444444
13930,3,15,0,3,1,2,0.84,0.44,0.194,110,168,278,8,13.931944444444444
13959,3,20,0,4,1,1,0.7,0.54,0.2836,91,387,478,9,13.897222222222222
13965,3,2,0,5,1,1,0.7,0.74,0.1642,6,14,20,10,13.862222222222222
13988,3,1,0,6,0,1,0.66,0.74,0.2239,32,84,116,11,13.826944444444445
14021,3,10,0,0,0,1,0.7,0.51,0.1642,88,240,328,12,13.79111111111111
14065,3,6,0,2,1,3,0.64,0.83,0.194,1,63,64,14,13.71861111111111
14070,3,11,0,2,1,1,0.74,0.62,0.0,69,127,196,14,13.71861111111111
14073,3,14,0,2,1,1,0.82,0.41,0.2239,80,175,255,14,13.71861111111111
14074,3,15,0,2,1,1,0.82,0.46,0.2239,84,199,283,14,13.71861111111111
14087,3,4,0,3,1,1,0.64,0.83,0.1045,0,4,4,15,13.681944444444444
14101,3,18,0,3,1,1,0.74,0.51,0.2239,80,768,848,15,13.681944444444444
14121,3,14,0,4,1,1,0.82,0.32,0.0,72,176,248,16,13.645
14125,3,18,0,4,1,1,0.8,0.36,0.0,109,723,832,16,13.645
14138,3,7,0,5,1,1,0.64,0.73,0.1045,11,368,379,17,13.585555555555555
14155,3,0,0,6,0,2,0.64,0.83,0.2239,6,99,105,18,13.547777777777778
14163,3,8,0,6,0,1,0.64,0.69,0.2537,28,161,189,18,13.547777777777778
14201,3,22,0,0,0,2,0.62,0.78,0.1642,6,50,56,19,13.509722222222223
14218,3,15,0,1,1,1,0.72,0.54,0.2537,102,207,309,20,13.471388888888889
14258,3,7,0,3,1,1,0.62,0.78,0.0,16,537,553,22,13.394166666666667
14262,3,11,0,3,1,1,0.72,0.58,0.0896,71,196,267,22,13.394166666666667
14270,3,19,0,3,1,2,0.66,0.74,0.0,56,524,580,22,13.394166666666667
14275,3,0,0,4,1,1,0.64,0.78,0.0,9,51,60,23,13.355277777777777
14331,3,8,0,6,0,2,0.66,0.74,0.2537,29,133,162,25,13.276944444444444
14344,3,21,0,6,0,1,0.62,0.83,0.3582,60,148,208,25,13.276944444444444
14348,3,1,0,0,0,1,0.64,0.89,0.194,18,116,134,26,13.237222222222222
14391,3,20,0,1,1,1,0.74,0.7,0.194,50,366,416,27,13.197777777777778
14394,3,23,0,1,1,1,0.7,0.84,0.1642,35,79,114,27,13.197777777777778
14408,3,13,0,2,1,1,0.82,0.43,0.2985,56,232,288,28,13.157777777777778
14433,3,14,0,3,1,1,0.76,0.4,0.0896,87,214,301,29,13.117777777777778
14445,3,2,0,4,1,1,0.62,0.73,0.0,3,14,17,30,13.077777777777778
14449,3,6,0,4,1,1,0.6,0.83,0.1642,8,155,163,30,13.077777777777778
14455,3,12,0,4,1,1,0.76,0.45,0.1343,73,221,294,30,13.077777777777778
14488,3,21,0,5,1,1,0.76,0.58,0.194,71,232,303,31,13.0375
14491,3,0,0,6,0,1,0.74,0.62,0.1045,22,146,168,1,12.996944444444445
14502,3,11,0,6,0,2,0.8,0.55,0.2239,219,273,492,1,12.996944444444445
14506,3,15,0,6,0,2,0.86,0.44,0.2836,257,306,563,1,12.996944444444445
14532,3,17,0,0,0,1,0.76,0.66,0.0896,219,284,503,2,12.956388888888888
14539,3,0,1,1,0,2,0.66,0.94,0.0,42,62,104,3,12.915833333333333
14546,3,7,1,1,0,1,0.68,0.85,0.0,6,37,43,3,12.915833333333333
14578,3,15,0,2,1,1,0.8,0.59,0.4627,68,224,292,4,12.875
14586,3,23,0,2,1,1,0.72,0.74,0.2985,12,83,95,4,12.875
14591,3,4,0,3,1,1,0.7,0.79,0.2836,2,3,5,5,12.834166666666667
14603,3,16,0,3,1,1,0.76,0.7,0.2537,86,344,430,5,12.834166666666667
14646,3,11,0,5,1,1,0.76,0.62,0.1343,81,215,296,7,12.752222222222223
14649,3,14,0,5,1,1,0.8,0.59,0.2537,66,187,253,7,12.752222222222223
14656,3,21,0,5,1,1,0.7,0.74,0.1642,55,246,301,7,12.752222222222223
14700,3,17,0,0,0,1,0.7,0.37,0.2537,213,458,671,9,12.669722222222223
14715,3,8,0,1,1,1,0.56,0.6,0.2836,33,697,730,10,12.628333333333334
14720,3,13,0,1,1,1,0.64,0.38,0.2239,72,251,323,10,12.628333333333334
14738,3,7,0,2,1,1,0.5,0.72,0.1045,24,572,596,11,12.586944444444445
14742,3,11,0,2,1,1,0.64,0.33,0.0896,60,187,247,11,12.586944444444445
14768,3,13,0,3,1,1,0.7,0.34,0.1343,85,238,323,12,12.545555555555556
14780,3,1,0,4,1,1,0.54,0.77,0.0896,6,22,28,13,12.50388888888889
14783,3,4,0,4,1,1,0.52,0.83,0.0,0,6,6,13,12.50388888888889
14807,3,4,0,5,1,1,0.54,0.77,0.0,1,11,12,14,12.462222222222222
14827,3,0,0,6,0,1,0.6,0.83,0.1045,38,169,207,15,12.420833333333333
14837,3,10,0,6,0,1,0.62,0.41,0.3881,119,323,442,15,12.420833333333333
14851,3,0,0,0,0,1,0.54,0.64,0.0,28,123,151,16,12.37888888888889
14853,3,2,0,0,0,1,0.52,0.63,0.0,27,62,89,16,12.37888888888889
14890,3,15,0,1,1,2,0.64,0.65,0.2537,82,256,338,17,12.337222222222222
14933,3,10,0,3,1,1,0.56,0.52,0.194,23,169,192,19,12.25361111111111
14971,3,0,0,5,1,1,0.54,0.68,0.0,13,53,66,21,12.17
15000,3,5,0,6,0,1,0.56,0.83,0.3284,2,15,17,22,12.128333333333334
15004,3,9,0,6,0,1,0.64,0.69,0.2537,88,289,377,22,12.128333333333334
15012,3,17,0,6,0,1,0.74,0.51,0.3284,195,451,646,22,12.128333333333334
15020,4,1,0,0,0,1,0.54,0.52,0.3582,23,119,142,23,12.086388888888889
15033,4,14,0,0,0,1,0.6,0.38,0.194,266,400,666,23,12.086388888888889
15060,4,17,0,1,1,1,0.58,0.3,0.0,89,809,898,24,12.044444444444444
15107,4,16,0,3,1,1,0.74,0.45,0.2836,71,397,468,26,11.960833333333333
15113,4,22,0,3,1,3,0.62,0.69,0.194,21,194,215,26,11.960833333333333
15115,4,0,0,4,1,1,0.6,0.78,0.0896,5,60,65,27,11.918888888888889
15159,4,20,0,5,1,3,0.6,0.53,0.1642,32,304,336,28,11.877222222222223
15194,4,7,0,0,0,1,0.44,0.77,0.0,14,43,57,30,11.793611111111112
15255,4,20,0,2,1,3,0.62,0.94,0.1343,20,286,306,2,11.71
15257,4,22,0,2,1,2,0.62,0.94,0.1045,28,212,240,2,11.71
15264,4,5,0,3,1,2,0.62,0.94,0.1045,2,32,34,3,11.668333333333333
15292,4,9,0,4,1,2,0.64,0.89,0.194,40,319,359,4,11.626666666666667
15300,4,17,0,4,1,1,0.7,0.51,0.2239,112,789,901,4,11.626666666666667
15320,4,13,0,5,1,1,0.7,0.48,0.0,117,307,424,5,11.585277777777778
15343,4,12,0,6,0,1,0.7,0.54,0.1045,362,381,743,6,11.543611111111112
15373,4,18,0,0,0,3,0.4,0.82,0.194,24,82,106,7,11.502222222222223
15381,4,2,1,1,0,1,0.34,0.81,0.194,3,12,15,8,11.460833333333333
15383,4,4,1,1,0,1,0.32,0.87,0.1343,1,6,7,8,11.460833333333333
15415,4,12,0,2,1,2,0.48,0.69,0.194,43,217,260,9,11.419722222222223
15534,4,11,0,0,0,1,0.56,0.52,0.2985,156,338,494,14,11.214722222222223
15539,4,16,0,0,0,1,0.64,0.41,0.2985,203,378,581,14,11.214722222222223
15542,4,19,0,0,0,1,0.56,0.64,0.2239,68,268,336,14,11.214722222222223
15553,4,6,0,1,1,2,0.56,0.73,0.2985,6,141,147,15,11.17388888888889
15586,4,15,0,2,1,1,0.54,0.41,0.3284,76,270,346,16,11.133333333333333
15640,4,21,0,4,1,2,0.54,0.77,0.194,38,245,283,18,11.052777777777777
15671,4,4,0,6,0,1,0.44,0.72,0.0,9,9,18,20,10.973055555555556
15690,4,23,0,6,0,1,0.42,0.58,0.0,27,136,163,20,10.973055555555556
15715,4,0,0,1,1,1,0.4,0.62,0.0,3,28,31,22,10.893611111111111
15717,4,2,0,1,1,1,0.38,0.71,0.0,1,4,5,22,10.893611111111111
15725,4,10,0,1,1,1,0.5,0.55,0.0,51,161,212,22,10.893611111111111
15760,4,21,0,2,1,1,0.56,0.68,0.0,35,260,295,23,10.854444444444445
15763,4,0,0,3,1,1,0.54,0.73,0.0896,7,39,46,24,10.815277777777778
15795,4,8,0,4,1,2,0.52,0.83,0.1642,33,746,779,25,10.776388888888889
15799,4,12,0,4,1,2,0.56,0.78,0.1045,61,258,319,25,10.776388888888889
15853,4,18,0,6,0,2,0.56,0.64,0.2836,138,318,456,27,10.699444444444444
15869,4,10,0,0,0,2,0.48,0.51,0.4179,120,314,434,28,10.661111111111111
15916,4,21,0,3,1,2,0.4,0.5,0.194,12,180,192,31,10.548333333333334
15917,4,22,0,3,1,1,0.36,0.57,0.1343,18,147,165,31,10.548333333333334
15919,4,0,0,4,1,1,0.36,0.57,0.0896,8,52,60,1,10.511388888888888
15937,4,18,0,4,1,2,0.4,0.5,0.1642,50,628,678,1,10.511388888888888
15952,4,9,0,5,1,1,0.34,0.53,0.1045,27,355,382,2,10.474722222222223
15956,4,13,0,5,1,1,0.4,0.43,0.3582,64,230,294,2,10.474722222222223
15968,4,1,0,6,0,2,0.34,0.49,0.3284,6,83,89,3,10.438333333333333
15996,4,5,0,0,0,1,0.26,0.65,0.1045,0,5,5,4,10.4025
16024,4,9,0,1,1,2,0.3,0.52,0.2836,18,239,257,5,10.366944444444444
16027,4,12,0,1,1,1,0.36,0.43,0.3284,38,206,244,5,10.366944444444444
16034,4,19,0,1,1,1,0.32,0.49,0.1642,11,361,372,5,10.366944444444444
16038,4,23,0,1,1,1,0.26,0.6,0.1343,0,53,53,5,10.366944444444444
16044,4,5,0,2,1,2,0.22,0.64,0.194,1,40,41,6,10.331666666666667
16049,4,10,0,2,1,1,0.3,0.49,0.194,41,189,230,6,10.331666666666667
16052,4,13,0,2,1,1,0.34,0.46,0.1343,46,232,278,6,10.331666666666667
16110,4,0,0,5,1,1,0.34,0.49,0.3284,9,46,55,9,10.228333333333333
16138,4,4,0,6,0,1,0.26,0.87,0.1045,2,4,6,10,10.195
16141,4,7,0,6,0,1,0.26,0.87,0.1045,14,57,71,10,10.195
16225,4,19,0,2,1,1,0.32,0.49,0.3582,12,344,356,13,10.097222222222221
16245,4,15,0,3,1,1,0.36,0.43,0.2836,32,228,260,14,10.065555555555555
16287,4,9,0,5,1,1,0.34,0.53,0.1045,21,330,351,16,10.004166666666666
16293,4,15,0,5,1,1,0.42,0.38,0.1343,30,237,267,16,10.004166666666666
16309,4,7,0,6,0,1,0.24,0.7,0.194,8,70,78,17,9.974444444444444
16320,4,18,0,6,0,1,0.36,0.5,0.1045,34,237,271,17,9.974444444444444
16347,4,21,0,0,0,1,0.36,0.66,0.2537,17,93,110,18,9.945
16393,4,19,0,2,1,2,0.4,0.71,0.0,23,361,384,20,9.888333333333334
16461,4,15,0,5,1,1,0.48,0.41,0.2537,233,214,447,23,9.808333333333334
16469,4,23,0,5,1,1,0.42,0.38,0.4478,20,47,67,23,9.808333333333334
16474,4,4,0,6,0,1,0.26,0.41,0.4478,1,2,3,24,9.783055555555556
16475,4,5,0,6,0,1,0.26,0.41,0.3284,1,2,3,24,9.783055555555556
16479,4,9,0,6,0,2,0.26,0.41,0.4478,26,96,122,24,9.783055555555556
16540,4,22,0,1,1,1,0.32,0.61,0.0,3,101,104,26,9.734444444444444
16541,4,23,0,1,1,2,0.32,0.66,0.1045,8,57,65,26,9.734444444444444
16587,4,21,0,3,1,1,0.3,0.39,0.1642,4,219,223,28,9.689166666666667
16591,4,1,0,4,1,1,0.22,0.64,0.0896,1,15,16,29,9.667777777777777
16625,4,12,0,5,1,2,0.38,0.46,0.0,25,243,268,30,9.646944444444445
16627,4,14,0,5,1,2,0.4,0.4,0.1045,26,225,251,30,9.646944444444445
16642,4,5,0,6,0,1,0.24,0.87,0.0896,1,12,13,1,9.627222222222223
16668,4,7,0,0,0,2,0.24,0.93,0.1343,5,26,31,2,9.608333333333333
16685,4,0,0,1,1,2,0.42,0.82,0.1642,3,18,21,3,9.590277777777779
16776,4,19,0,4,1,1,0.26,0.6,0.194,13,360,373,6,9.54138888888889
16778,4,21,0,4,1,2,0.24,0.6,0.1343,7,184,191,6,9.54138888888889
16781,4,0,0,5,1,1,0.24,0.7,0.1045,3,45,48,7,9.526944444444444
16827,4,22,0,6,0,2,0.38,0.94,0.1045,23,137,160,8,9.513333333333334
16828,4,23,0,6,0,2,0.4,0.94,0.0,18,144,162,8,9.513333333333334
16894,4,17,0,2,1,1,0.32,0.53,0.2239,21,580,601,11,9.47888888888889
16922,4,21,0,3,1,2,0.3,0.52,0.2537,16,186,202,12,9.469166666666666
16967,4,18,0,5,1,1,0.36,0.46,0.1343,23,432,455,14,9.453055555555556
16970,4,21,0,5,1,1,0.3,0.75,0.1642,7,165,172,14,9.453055555555556
17014,4,17,0,0,0,2,0.38,0.82,0.1045,29,214,243,16,9.44111111111111
17070,4,1,0,3,1,1,0.3,0.65,0.0896,1,14,15,19,9.430833333333334
17071,4,2,0,3,1,1,0.28,0.65,0.0896,1,2,3,19,9.430833333333334
17082,4,13,0,3,1,1,0.42,0.5,0.194,30,183,213,19,9.430833333333334
17101,4,8,0,4,1,2,0.3,0.7,0.0,14,585,599,20,9.429444444444444
17113,4,20,0,4,1,3,0.34,0.76,0.1642,1,49,50,20,9.429444444444444
17164,1,23,0,6,0,1,0.22,0.51,0.194,3,37,40,22,9.43
17169,1,4,0,0,0,1,0.2,0.47,0.1343,1,3,4,23,9.431944444444444
17170,1,5,0,0,0,1,0.2,0.51,0.0,0,6,6,23,9.431944444444444
17187,1,22,0,0,0,1,0.24,0.6,0.1045,5,53,58,23,9.431944444444444
17191,1,2,0,1,1,1,0.2,0.75,0.0,0,5,5,24,9.434722222222222
17192,1,3,0,1,1,1,0.2,0.75,0.0,1,2,3,24,9.434722222222222
17213,1,1,1,2,0,2,0.26,0.87,0.1642,0,13,13,25,9.438611111111111
17221,1,10,1,2,0,1,0.28,0.81,0.0,11,21,32,25,9.438611111111111
17252,1,17,0,3,1,3,0.26,0.93,0.3582,2,51,53,26,9.44361111111111
17272,1,13,0,4,1,1,0.3,0.49,0.4627,19,99,118,27,9.449722222222222
17300,1,17,0,5,1,1,0.24,0.6,0.1343,43,228,271,28,9.456666666666667
17311,1,4,0,6,0,2,0.24,0.75,0.0896,0,3,3,29,9.464722222222223
17324,1,17,0,6,0,1,0.26,0.79,0.1045,18,100,118,29,9.464722222222223
17360,1,5,0,1,1,1,0.16,0.64,0.194,0,9,9,31,9.484166666666667
